ep-09-01-12-012.xml	 Order of business Mr President , ladies and gentlemen , everyone is aware of the situation in Gaza . That we should discuss __it__ here in Parliament is perfectly natural . 	 Ordre de les travaux à le nom de le groupe Verts / ALE . - Monsieur le Président , chers collègues , la situation à Gaza est connue de tous . Que nous en discutions ici à le Parlement est naturel . 	3	11.5	 it 	 empty	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find it in ourselves in this Chamber to utterly condemn Israeli brutality . This onslaught is not alone disproportionate ; it is entirely unjustified . __It__ is not driven by Israeli security needs ; in fact , it is a cynical and clinical attack not on Hamas , but on the Palestinian population . 	 Je constate que , dans vos précédentes remarques , vous vous êtes montré relativement timoré dans votre position à l' égard d' Israël : 900 Palestiniens tués , dont un tiers d' enfants , et nous ne sommes toujours pas capables en cette Assemblée de condamner fermement la brutalité de l' État hébreu . Cette agression n' est pas seulement disproportionnée , elle est totalement injustifiée . __Elle__ ne répond pas à de les besoins sécuritaires israéliens ; il s' agit en réalité d' une attaque cynique et clinique non pas de le Hamas , mais de la population palestinienne . 	34	40.1	 it 	 elle	 nominal_ref 	nominal_ref
ep-09-01-12-013.xml	 I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find it in ourselves in this Chamber to utterly condemn Israeli brutality . This onslaught is not alone disproportionate ; it is entirely unjustified . It is not driven by Israeli security needs ; in fact , __it__ is a cynical and clinical attack not on Hamas , but on the Palestinian population . 	 Je constate que , dans vos précédentes remarques , vous vous êtes montré relativement timoré dans votre position à l' égard d' Israël : 900 Palestiniens tués , dont un tiers d' enfants , et nous ne sommes toujours pas capables en cette Assemblée de condamner fermement la brutalité de l' État hébreu . Cette agression n' est pas seulement disproportionnée , elle est totalement injustifiée . Elle ne répond pas à de les besoins sécuritaires israéliens ; il __s'__ agit en réalité d' une attaque cynique et clinique non pas de le Hamas , mais de la population palestinienne . 	34	40.13	 it 	 s'	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 It is not driven by Israeli security needs ; in fact , it is a cynical and clinical attack not on Hamas , but on the Palestinian population . I think that Member States now have a moral obligation to flex the full extent of their diplomatic and political muscle with Israel to end this violence . Tiptoeing around the Israeli administration will not work ; __it__ has never worked . 	 Elle ne répond pas à de les besoins sécuritaires israéliens ; il s' agit en réalité d' une attaque cynique et clinique non pas de le Hamas , mais de la population palestinienne . Je pense que les États membres ont à présent l' obligation morale de déployer toute leur puissance diplomatique et politique à l' égard d' Israël pour mettre un terme à cette violence . Prendre de les pincettes avec l' administration israélienne n' aura aucun effet - __cela__ n' en a jamais eu . 	36	42.10	 it 	 cela	 event_ref 	event_ref
ep-09-01-12-013.xml	 The debate will take place on Wednesday afternoon . ( BG ) Ladies and gentlemen , two days ago four schools in the city of Burgas found their walls daubed with racist slogans . They had sprayed on their walls things like : ' Turn Bulgarians into soap ' and ' Death to the giaours ' . 'Giaour ' is a derogatory Turkish expression used during the time of the Ottoman Empire to refer to non-Muslim subjects and those of non-Turkish origin . In the Turkish mind a giaour is considered to be subhuman , which makes __it__ the most offensive racist insult in the Turkish language . ' Giaours ' is the same word used by the former minister of agriculture Nihat Kabil and the Turkish administrators in the Ministry of Agriculture to refer to the Bulgarians who had joined the department , following which they gave preferential treatment to the Turks . 	 Le débat aura lieu mercredi après-midi . ( BG ) Mesdames et Messieurs , il y a deux jours , quatre écoles de la ville de Bourgas ont vu leurs murs barbouillés de slogans racistes . On avait écrit à la bombe , sur les murs , de les choses telles que : " Les Bulgares , faites -en de le savon " et " Mort à les giaours " . " Giaour " est une expression turque péjorative utilisée à l' époque de l' Empire ottoman pour désigner les sujets non musulmans et ceux d' origine non turque . Dans l' esprit de les Turcs , un giaour est considéré comme un sous-homme , ce __qui__ en fait l' insulte raciste la plus dégradante en turc . " Giaours " est également le terme utilisé par l' ancien ministre de l' agriculture , Nihat Kabil , et par les administrateurs turcs de le ministère de l' agriculture pour se référer à les Bulgares qui avaient rejoint le département , à la suite de quoi ils ont appliqué à les Turcs un traitement préférentiel . 	46	58.15	 it 	 qui	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 In the Turkish mind a giaour is considered to be subhuman , which makes it the most offensive racist insult in the Turkish language . ' Giaours ' is the same word used by the former minister of agriculture Nihat Kabil and the Turkish administrators in the Ministry of Agriculture to refer to the Bulgarians who had joined the department , following which they gave preferential treatment to the Turks . Ladies and gentlemen , let this incident be a warning to you about what the Turkish mentality is like in the 21st century . This example alone shows that Turkey has no place in the European Union because __it__ is a racist , xenophobic country which supports and promotes racism and xenophobia in neighbouring countries . 	 Dans l' esprit de les Turcs , un giaour est considéré comme un sous-homme , ce qui en fait l' insulte raciste la plus dégradante en turc . " Giaours " est également le terme utilisé par l' ancien ministre de l' agriculture , Nihat Kabil , et par les administrateurs turcs de le ministère de l' agriculture pour se référer à les Bulgares qui avaient rejoint le département , à la suite de quoi ils ont appliqué à les Turcs un traitement préférentiel . Mesdames et Messieurs , puisse cet incident vous servir d' avertissement à le sujet de la mentalité turque à le XXIe siècle . Ce seul exemple montre que la Turquie n' a pas sa place dans l' Union européenne parce que c' est un pays raciste et xénophobe , qui soutient et encourage le racisme et la xénophobie dans les pays voisins . 	48	61.15	 it 	 empty	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 This example alone shows that Turkey has no place in the European Union because it is a racist , xenophobic country which supports and promotes racism and xenophobia in neighbouring countries . This case shows that Bulgarians are not only not the source of hatred , but that they are victims of hatred and ethnic intolerance . The European Parliament has always taken a vigorous stance against racism and ethnic intolerance . I appeal to you , as Members of this House , to do __it__ once again and support our written declaration condemning Turkish racism against Bulgarians . 	 Ce seul exemple montre que la Turquie n' a pas sa place dans l' Union européenne parce que c' est un pays raciste et xénophobe , qui soutient et encourage le racisme et la xénophobie dans les pays voisins . Cette affaire montre que les Bulgares non seulement ne sont pas à l' origine de la haine , mais qu' ils sont eux-mêmes victimes de la haine et de l' intolérance ethnique . Le Parlement européen a toujours pris de les positions véhémentes contre le racisme et l' intolérance ethnique . Je fais appel à vous , en tant que membres de cette Assemblée , pour que vous le fassiez à nouveau , et que vous souteniez notre déclaration écrite condamnant le racisme turc à l' égard de les Bulgares . 	50	64.14	 it 	 empty	 unknown_ref 	event_ref
ep-09-01-12-013.xml	 This is the typical result of political state control over production . Not being able to deliver gas at the same time to Russian customers and meet commitments abroad has probably brought Mr Putin to initiate the political crisis and point to Ukraine as a scapegoat . This makes __it__ all the more important for us to concentrate upon finding new energy sources . 	 C' est là la conséquence logique d' un contrôle politique de la production par l' État . Le fait de ne pouvoir à la fois livrer de le gaz à les consommateurs russes et respecter les engagements vis-à-vis de l' étranger a sans doute poussé M. Poutine à déclencher la crise politique et à faire de l' Ukraine son bouc émissaire . __Cela__ rend d' autant plus nécessaire de rechercher de les sources alternatives d' énergie . 	57	73.3	 it 	 cela	 pleonastic_ref 	pleonastic_ref
ep-09-01-12-013.xml	 Not being able to deliver gas at the same time to Russian customers and meet commitments abroad has probably brought Mr Putin to initiate the political crisis and point to Ukraine as a scapegoat . This makes it all the more important for us to concentrate upon finding new energy sources . . - ( HU ) Mr President , fellow Members , the economic crisis that many people initially took to be scare tactics on the part of the media has now reached Europe ; __it__ afflicts countries , regions , local communities , enterprises and with them families and workers . 	 Le fait de ne pouvoir à la fois livrer de le gaz à les consommateurs russes et respecter les engagements vis-à-vis de l' étranger a sans doute poussé M. Poutine à déclencher la crise politique et à faire de l' Ukraine son bouc émissaire . Cela rend d' autant plus nécessaire de rechercher de les sources alternatives d' énergie . . - ( HU ) Monsieur le Président , chers collègues , la crise économique , dont de nombreuses personnes croyaient qu' il s' agissait en fait d' une campagne de peur de la part de les médias , a maintenant atteint l' Europe ; elle touche de les pays , de les régions , de les collectivités locales , de les entreprises , et , dans la foulée , de les familles et de les travailleurs . 	58	74.34	 it 	 empty	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 This is why I welcome the Commission 's Communication , as well as Commissioner Špidla 's dedication to raising awareness and his urging Europe to make efforts to protect the most vulnerable social groups at this time of declining economic activity . The Commission 's differentiated approach gives reason to hope that a unified Europe will not mean enforced uniformity , especially not during a period of crisis . I hope and expect that __it__ will receive the support of the European Parliament in this regard . 	 C' est pourquoi je me félicite de la communication de la Commission , ainsi que de l' attachement de le commissaire Špidla à le thème de la sensibilisation et de le fait qu' il presse l' Europe de faire de les efforts pour protéger les groupes sociaux les plus vulnérables en cette ère de déclin de l' activité économique . L' approche différenciée de la Commission nous donne de les raisons d' espérer que l' Europe unie ne sera pas synonyme d' uniformité obligatoire , surtout en période de crise . J' espère et j' attends que celle-ci reçoive le soutien de le Parlement européen à cet égard . 	65	81.6	 it 	 empty	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 Therefore I call on the Commission to provide the legal framework for voluntary GM - free labelling at European level . - ( PL ) Mr President , I should like to take this opportunity of appealing to the Council to take appropriate action , pursuant to Article 13 of the Treaty establishing the European Community , in order to combat discrimination on the grounds of ethnic origin in Lithuania . Three politicians from the Polish minority were elected in the recent Lithuanian parliamentary elections . The Lithuanian authorities subsequently tried to deprive them of their parliamentary seats . The reason given is that these persons hold the Karta Polaka . This is a document confirming that the holder belongs to the wider Polish nation . __It__ is intended to help preserve Polish culture and national identity amongst persons of Polish origin the world over . The Lithuanian authorities , however , consider that it involves loyalty to a foreign country . This is obviously ridiculous and outrageous . In addition , it amounts to discrimination for reasons of ethnic origin , and also involves violating the rights of a national minority , which is behaviour unworthy of a Member State of the European Union . 	 J' appelle donc la Commission à mettre en place le cadre juridique qui autorisera , à le niveau européen , la mention " sans OGM " sur une base volontaire . - ( PL ) Monsieur le Président , je voudrais saisir cette occasion pour en appeler à le Conseil afin qu' il prenne les mesures appropriées , conformément à l' article 13 de le traité instituant la Communauté européenne , de manière à lutter contre la discrimination fondée sur l' origine ethnique en Lituanie . __Trois__ hommes politiques de la minorité polonaise ont été élus lors de les récentes élections législatives en Lituanie . Les autorités lituaniennes ont ensuite tenté de les priver de leurs sièges parlementaires . La raison invoquée est que ces personnes sont titulaires de la " Karta Polaka " . Il s' agit d' un document confirmant que le titulaire appartient à la nation polonaise à le sens large . Il est destiné à contribuer à la préservation de la culture polonaise et de l' identité nationale parmi les personnes d' origine polonaise dans le monde entier . Les autorités lituaniennes considèrent toutefois que cette carte implique la loyauté vis-à-vis d' un pays étranger . C' est évidemment ridicule et scandaleux . En outre , cela équivaut à une discrimination pour de les raisons d' origine ethnique et , d' autre part , à une violation de les droits d' une minorité nationale , ce qui est un comportement indigne d' un État membre de l' Union européenne . 	76	96.1	 it 	 trois	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 Therefore I call on the Commission to provide the legal framework for voluntary GM - free labelling at European level . - ( PL ) Mr President , I should like to take this opportunity of appealing to the Council to take appropriate action , pursuant to Article 13 of the Treaty establishing the European Community , in order to combat discrimination on the grounds of ethnic origin in Lithuania . Three politicians from the Polish minority were elected in the recent Lithuanian parliamentary elections . The Lithuanian authorities subsequently tried to deprive them of their parliamentary seats . The reason given is that these persons hold the Karta Polaka . This is a document confirming that the holder belongs to the wider Polish nation . It is intended to help preserve Polish culture and national identity amongst persons of Polish origin the world over . The Lithuanian authorities , however , consider that __it__ involves loyalty to a foreign country . This is obviously ridiculous and outrageous . In addition , it amounts to discrimination for reasons of ethnic origin , and also involves violating the rights of a national minority , which is behaviour unworthy of a Member State of the European Union . 	 J' appelle donc la Commission à mettre en place le cadre juridique qui autorisera , à le niveau européen , la mention " sans OGM " sur une base volontaire . - ( PL ) Monsieur le Président , je voudrais saisir cette occasion pour en appeler à le Conseil afin qu' il prenne les mesures appropriées , conformément à l' article 13 de le traité instituant la Communauté européenne , de manière à lutter contre la discrimination fondée sur l' origine ethnique en Lituanie . Trois hommes politiques de la minorité polonaise ont été élus lors de les récentes __élections__ législatives en Lituanie . Les autorités lituaniennes ont ensuite tenté de les priver de leurs sièges parlementaires . La raison invoquée est que ces personnes sont titulaires de la " Karta Polaka " . Il s' agit d' un document confirmant que le titulaire appartient à la nation polonaise à le sens large . Il est destiné à contribuer à la préservation de la culture polonaise et de l' identité nationale parmi les personnes d' origine polonaise dans le monde entier . Les autorités lituaniennes considèrent toutefois que cette carte implique la loyauté vis-à-vis d' un pays étranger . C' est évidemment ridicule et scandaleux . En outre , cela équivaut à une discrimination pour de les raisons d' origine ethnique et , d' autre part , à une violation de les droits d' une minorité nationale , ce qui est un comportement indigne d' un État membre de l' Union européenne . 	76	97.9	 it 	 élections	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 Therefore I call on the Commission to provide the legal framework for voluntary GM - free labelling at European level . - ( PL ) Mr President , I should like to take this opportunity of appealing to the Council to take appropriate action , pursuant to Article 13 of the Treaty establishing the European Community , in order to combat discrimination on the grounds of ethnic origin in Lithuania . Three politicians from the Polish minority were elected in the recent Lithuanian parliamentary elections . The Lithuanian authorities subsequently tried to deprive them of their parliamentary seats . The reason given is that these persons hold the Karta Polaka . This is a document confirming that the holder belongs to the wider Polish nation . It is intended to help preserve Polish culture and national identity amongst persons of Polish origin the world over . The Lithuanian authorities , however , consider that it involves loyalty to a foreign country . This is obviously ridiculous and outrageous . In addition , __it__ amounts to discrimination for reasons of ethnic origin , and also involves violating the rights of a national minority , which is behaviour unworthy of a Member State of the European Union . 	 J' appelle donc la Commission à mettre en place le cadre juridique qui autorisera , à le niveau européen , la mention " sans OGM " sur une base volontaire . - ( PL ) Monsieur le Président , je voudrais saisir cette occasion pour en appeler à le Conseil afin qu' il prenne les mesures appropriées , conformément à l' article 13 de le traité instituant la Communauté européenne , de manière à lutter contre la discrimination fondée sur l' origine ethnique en Lituanie . Trois hommes politiques de la minorité polonaise ont __été__ élus lors de les récentes élections législatives en Lituanie . Les autorités lituaniennes ont ensuite tenté de les priver de leurs sièges parlementaires . La raison invoquée est que ces personnes sont titulaires de la " Karta Polaka " . Il s' agit d' un document confirmant que le titulaire appartient à la nation polonaise à le sens large . Il est destiné à contribuer à la préservation de la culture polonaise et de l' identité nationale parmi les personnes d' origine polonaise dans le monde entier . Les autorités lituaniennes considèrent toutefois que cette carte implique la loyauté vis-à-vis d' un pays étranger . C' est évidemment ridicule et scandaleux . En outre , cela équivaut à une discrimination pour de les raisons d' origine ethnique et , d' autre part , à une violation de les droits d' une minorité nationale , ce qui est un comportement indigne d' un État membre de l' Union européenne . 	76	99.4	 it 	 été	 unknown_ref 	event_ref
